2017-06-09 13:56:41,438: INFO: running resume_train.py -finetune ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model -train ../data/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removeword
2017-06-09 13:56:41,438: INFO: loading Word2Vec object from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,672: INFO: loading wv recursively from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.* with mmap=None
2017-06-09 13:56:41,672: INFO: loading syn0 from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.syn0.npy with mmap=None
2017-06-09 13:56:41,716: INFO: setting ignored attribute syn0norm to None
2017-06-09 13:56:41,716: INFO: loading syn1neg from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.syn1neg.npy with mmap=None
2017-06-09 13:56:41,754: INFO: setting ignored attribute cum_table to None
2017-06-09 13:56:41,754: INFO: loaded ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,954: INFO: training model with 12 workers on 84043 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=10 window=5
2017-06-09 13:57:24,558: INFO: PROGRESS: at 0.27% examples, 434740 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:25,563: INFO: PROGRESS: at 0.27% examples, 435270 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:26,608: INFO: PROGRESS: at 0.28% examples, 434812 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:27,611: INFO: PROGRESS: at 0.29% examples, 435360 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:28,616: INFO: PROGRESS: at 0.29% examples, 435608 words/s, in_qsize 22, out_qsize 0
2017-06-09 13:57:29,631: INFO: PROGRESS: at 0.30% examples, 435271 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:30,644: INFO: PROGRESS: at 0.31% examples, 435108 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:31,649: INFO: PROGRESS: at 0.31% examples, 435416 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:32,658: INFO: PROGRESS: at 0.32% examples, 435638 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:33,693: INFO: PROGRESS: at 0.33% examples, 435691 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:34,715: INFO: PROGRESS: at 0.33% examples, 435556 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:35,717: INFO: PROGRESS: at 0.34% examples, 435745 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:36,743: INFO: PROGRESS: at 0.34% examples, 435687 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:37,747: INFO: PROGRESS: at 0.35% examples, 436080 words/s, in_qsize 21, out_qsize 2
2017-06-09 13:57:38,757: INFO: PROGRESS: at 0.36% examples, 436469 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:39,763: INFO: PROGRESS: at 0.36% examples, 436639 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:40,769: INFO: PROGRESS: at 0.37% examples, 436957 words/s, in_qsize 22, out_qsize 1
